Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Control Cadence),Custom field (Decision Date),Custom field (Decision ID),Custom field (Decision Outcome),Custom field (Decision Questions),Custom field (Decision Rationale),Custom field (Decision Status),Custom field (Definition Status),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependency Notes),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Evidence Required),Custom field (Exclusions),Custom field (External issue ID),Custom field (Focus Areas),Custom field (Gate ID),Custom field (Gate Status),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Options Considered),Custom field (Parent WBS ID),Custom field (Planning Notes),Custom field (Project overview key),Custom field (Project overview status),Custom field (Purpose),Custom field (Rank),Custom field (Request Type),Custom field (Required Evidence),Custom field (Required Inputs),Custom field (Required Outputs),Custom field (Risk Level),Custom field (Scope),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Unlocks WBS IDs),Custom field (Vulnerability),Custom field (WBS ID),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Governing Equations and State Variables,SS-351,10401,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Select and define the continuous equation systems used in each model region.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Each equation system has defined variables, parameters, assumptions, region, required inputs and produced outputs.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Depends on RES-MOD-SYS; supplies equations to RES-NUM-FRM.,{},,,,,Spatial/temporal discretisation and software implementation.,40026,,,,,,,,,,,,,,RES-MOD,Research Deliverable; no lower Jira level is planned. Record citations in res-mod.bib and the research output in res-mod.tex.,,,Select and define the continuous equation systems used in each model region.,0|i000qn:,,"Cited equations, variable dictionary and model-selection rationale.","RES-PHY requirements, RES-MOD-SYS and relevant mathematical literature.",A governing-equation comparison and selected equation hierarchy.,Medium,"Linear and nonlinear shallow-water equations, possible dispersive extensions, incompressible Navier–Stokes or RANS forms, structural equations where coupled, conserved and primitive variables.",,,,,,,,,,,,RES-MOD-EQS,,,,10379,SS-329,Mathematical Model and Coupling,To Do,23/Jun/26 10:32 AM
Physical Source Terms and Constitutive Closures,SS-352,10402,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define physical additions and closures required by the governing equations.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every term has a mathematical expression, physical meaning, required coefficients, parameter source, uncertainty and applicability.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies continuous terms to RES-NUM-SRC.,{},,,,,"Initial and boundary conditions; hydrostatic reconstruction, well-balancing and other numerical treatments.",40027,,,,,,,,,,,,,,RES-MOD,Research Deliverable; no lower Jira level is planned. Record citations in res-mod.bib and the research output in res-mod.tex.,,,Define physical additions and closures required by the governing equations.,0|i000qv:,,"Cited equations, parameter tables and inclusion/exclusion rationale.","RES-MOD-EQS, RES-PHY, RES-DAT and material information from RES-STR.",An approved source-term and constitutive-closure catalogue.,Medium,"Bed-slope and bed-friction terms, Coriolis and wind forcing where retained, viscosity, turbulence closures, porous resistance, body forces, roughness laws and relevant constitutive relationships.",,,,,,,,,,,,RES-MOD-SRC,,,,10379,SS-329,Mathematical Model and Coupling,To Do,23/Jun/26 10:32 AM
"Initial, Boundary and Interface Condition Models",SS-353,10403,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define the mathematical form of conditions applied to each model and interface.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every condition has a mathematical definition, applied location, required data, physical justification and validity assumptions.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies condition models to RES-NUM-IBC and Software.,{},,,,,The underlying event data and the discrete numerical enforcement of conditions.,40028,,,,,,,,,,,,,,RES-MOD,Research Deliverable; no lower Jira level is planned. Record citations in res-mod.bib and the research output in res-mod.tex.,,,Define the mathematical form of conditions applied to each model and interface.,0|i000r3:,,"Condition catalogue, equations and interface variable map.","RES-DAT-CAS, RES-MOD-SYS, RES-MOD-EQS and coupling requirements.","A complete initial-, boundary- and interface-condition specification.",Medium,"Earthquake-generated initial free-surface or depth perturbation, initial velocity, open-ocean and reflective boundaries, seabed and free-surface conditions, shoreline conditions, SWE–CFD transfer and fluid–structure load transfer.",,,,,,,,,,,,RES-MOD-IBC,,,,10379,SS-329,Mathematical Model and Coupling,To Do,23/Jun/26 10:32 AM
Large-Domain Representation and Model Reduction,SS-354,10404,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Determine how geographically large tsunami domains can be represented without applying full 3D CFD resolution everywhere.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The chosen strategy preserves required physics while defining where dimensional or fidelity reduction is acceptable.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Informs RES-MOD-MUL, RES-NUM-MSH and Software architecture.",{},,,,,"Mesh implementation, parallelisation and runtime optimisation.",40029,,,,,,,,,,,,,,RES-MOD,Research Deliverable; no lower Jira level is planned. Record citations in res-mod.bib and the research output in res-mod.tex.,,,Determine how geographically large tsunami domains can be represented without applying full 3D CFD resolution everywhere.,0|i000rb:,,"Method comparison, domain diagrams and error/limitation rationale.","RES-PHY-PRO, RES-DAT-GEO, RES-MOD-EQS and computational constraints.",A selected large-domain representation strategy and fidelity-transition criteria.,Medium,"Depth-averaged regional models, nested domains, adaptive resolution, reduced barrier representations, local high-fidelity subdomains, domain truncation and preservation of relevant wave energy.",,,,,,,,,,,,RES-MOD-LRG,,,,10379,SS-329,Mathematical Model and Coupling,To Do,23/Jun/26 10:32 AM
Multidimensional and Multifidelity Coupling Strategy,SS-355,10405,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Define how models with different dimensions, resolutions and fidelities exchange information.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Transferred quantities, conservation requirements, coupling direction, temporal synchronisation and applicability are defined.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies requirements to RES-NUM-IBC and Software.,{},,,,,Implementation of coupling APIs and post-simulation coupling assessment.,40030,,,,,,,,,,,,,,RES-MOD,Research Deliverable; no lower Jira level is planned. Record citations in res-mod.bib and the research output in res-mod.tex.,,,"Define how models with different dimensions, resolutions and fidelities exchange information.",0|i000rj:,,"Coupling diagrams, variable maps and method comparison.","RES-MOD-SYS, RES-MOD-LRG, RES-MOD-IBC and RES-STR-FSI.",A selected coupling architecture and information-transfer specification.,Medium,"2D-to-3D coupling, regional-to-local transfer, one-way versus two-way coupling, sequential versus concurrent operation, vertical-profile reconstruction, conservation, time-step reconciliation and coupling error.",,,,,,,,,,,,RES-MOD-MUL,,,,10379,SS-329,Mathematical Model and Coupling,To Do,23/Jun/26 10:32 AM
"Assumptions, Applicability and Model Limitations",SS-356,10406,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Maintain the authoritative record of modelling assumptions together with their sufficient conditions and limitations.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every assumption records its consequence, supporting condition, evidence, expected validity range, risk if violated and required test.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs RES-VER test requirements and permitted interpretation of results.,{},,,,,Separate duplicated validity registers and numerical implementation assumptions owned by RES-NUM.,40031,,,,,,,,,,,,,,RES-MOD,Research Deliverable; no lower Jira level is planned. Record citations in res-mod.bib and the research output in res-mod.tex.,,,Maintain the authoritative record of modelling assumptions together with their sufficient conditions and limitations.,0|i000rr:,,"Assumption records, citations and links to affected equations and tests.","All RES-MOD deliverables, RES-PHY-SCL and relevant evidence.","A controlled assumptions, applicability and limitation register.",Medium,"Incompressibility, hydrostatic pressure, fixed seabed, omitted sediment transport and air phase, rigid-barrier stages, turbulence closure, Coriolis relevance, surface tension and other simplifications.",,,,,,,,,,,,RES-MOD-ASM,,,,10379,SS-329,Mathematical Model and Coupling,To Do,23/Jun/26 10:32 AM
Integrated Mathematical Model Specification,SS-357,10407,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Consolidate the selected continuous models into an authoritative specification.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"A traceable chain exists from physical phenomenon to equation, variable, data input, expected output and test requirement.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Principal input to RES-NUM-SPEC and Software.,{},,,,,"Numerical discretisation details, software code and final simulation results.",40032,,,,,,,,,,,,,,RES-MOD,Research Deliverable; no lower Jira level is planned. Record citations in res-mod.bib and the research output in res-mod.tex.,,,Consolidate the selected continuous models into an authoritative specification.,0|i000rz:,,"Integrated specification, equation index, variable dictionary and traceability matrix.","All preceding RES-MOD deliverables and accepted inputs from RES-PHY, RES-DAT, RES-GEO and RES-STR.",A complete mathematical model specification suitable for numerical-method research and implementation planning.,Medium,"Architecture, equations, variables, source terms, closures, conditions, large-domain representation, coupling, assumptions, inputs, outputs and downstream requirements.",,,,,,,,,,,,RES-MOD-SPEC,,,,10379,SS-329,Mathematical Model and Coupling,To Do,23/Jun/26 10:32 AM
Numerical Formulation and Discrete Conservation Framework,SS-358,10408,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define the discrete conservation framework used for each governing equation system.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The role of face fluxes, cell residuals, source contributions and temporal updates is mathematically explicit.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Foundation for RES-NUM-MSH, RES-NUM-FLX and Software solver architecture.",{},,,,,Specific production data structures and code implementation.,40033,,,,,,,,,,,,,,RES-NUM,Research Deliverable; no lower Jira level is planned. Record citations in res-num.bib and the research output in res-num.tex.,,,Define the discrete conservation framework used for each governing equation system.,0|i000s7:,,"Discrete equations, conservation proofs/checks and notation table.",RES-MOD-EQS and RES-MOD-SRC.,A selected discrete formulation and residual/update framework.,Medium,"Finite-volume integration, cell averages, conservative and primitive states, face-normal fluxes, residual assembly, owner–neighbour updates and discrete conservation.",,,,,,,,,,,,RES-NUM-FRM,,,,10380,SS-330,"Numerical Methods, Accuracy and Stability",To Do,23/Jun/26 10:32 AM
"Mesh Topology, Resolution and Geometric Discretisation",SS-359,10409,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Select supported mesh topologies and define the geometric information required by cells and faces.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Supported element types, quality limits, stored geometry and refinement requirements are defined.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs Software mesh structures and RES-VER convergence tests.,{},,,,,Mesh-generator implementation and final case mesh production.,40034,,,,,,,,,,,,,,RES-NUM,Research Deliverable; no lower Jira level is planned. Record citations in res-num.bib and the research output in res-num.tex.,,,Select supported mesh topologies and define the geometric information required by cells and faces.,0|i000sf:,,"Mesh comparison, data schemas and quality metric definitions.","RES-MOD-LRG, RES-GEO-REP and numerical-method requirements.",A mesh-topology selection and cell/face geometric-data specification.,Medium,"Structured and unstructured meshes, triangles, quadrilaterals, polygons, tetrahedra, hexahedra, polyhedra, hybrid meshes, refinement, non-conforming interfaces and quality measures.",,,,,,,,,,,,RES-NUM-MSH,,,,10380,SS-330,"Numerical Methods, Accuracy and Stability",To Do,23/Jun/26 10:32 AM
Spatial Reconstruction and Numerical Flux Selection,SS-360,10410,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Select face-state reconstruction, gradient methods, limiters and numerical fluxes.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Baseline and higher-order methods are selected with applicability, diffusion, stability and mesh requirements stated.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs Software flux components and RES-VER-BMK.,{},,,,,Production implementation and benchmark execution.,40035,,,,,,,,,,,,,,RES-NUM,Research Deliverable; no lower Jira level is planned. Record citations in res-num.bib and the research output in res-num.tex.,,,"Select face-state reconstruction, gradient methods, limiters and numerical fluxes.",0|i000sn:,,"Method comparison, equations and staged adoption rationale.","RES-NUM-FRM, RES-NUM-MSH and RES-MOD-EQS.",A staged reconstruction and numerical-flux hierarchy.,Medium,"First- and second-order reconstruction, Green–Gauss and least-squares gradients, MUSCL-type methods, Rusanov, HLL, HLLC, diffusive fluxes, non-orthogonal correction and limiting.",,,,,,,,,,,,RES-NUM-FLX,,,,10380,SS-330,"Numerical Methods, Accuracy and Stability",To Do,23/Jun/26 10:32 AM
Numerical Treatment of Source Terms and Well-Balancing,SS-361,10411,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define how physical source terms and closures are discretised consistently with fluxes.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Still-water equilibria, non-uniform bathymetry and retained source terms have compatible discrete treatments.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs Software source components and RES-VER-TST.,{},,,,,Continuous source-term definitions and final code implementation.,40036,,,,,,,,,,,,,,RES-NUM,Research Deliverable; no lower Jira level is planned. Record citations in res-num.bib and the research output in res-num.tex.,,,Define how physical source terms and closures are discretised consistently with fluxes.,0|i000sv:,,"Discrete source equations, equilibrium requirements and method comparisons.","RES-MOD-SRC, RES-NUM-FRM and RES-NUM-FLX.",A source-term discretisation and well-balanced treatment specification.,Medium,"Bathymetric slope, bed friction, Coriolis, viscosity, turbulence, porous resistance, source quadrature, well-balanced methods, hydrostatic reconstruction and stiff-source treatment.",,,,,,,,,,,,RES-NUM-SRC,,,,10380,SS-330,"Numerical Methods, Accuracy and Stability",To Do,23/Jun/26 10:32 AM
"Time Integration, CFL Control and Stiffness Treatment",SS-362,10412,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Select time-advancement methods and time-step control for each model.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Each equation system has a justified time integrator, stability restriction and coupling synchronisation rule.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Informs Software time integrators and RES-VER-CNV.,{},,,,,Runtime implementation and measured performance optimisation.,40037,,,,,,,,,,,,,,RES-NUM,Research Deliverable; no lower Jira level is planned. Record citations in res-num.bib and the research output in res-num.tex.,,,Select time-advancement methods and time-step control for each model.,0|i000t3:,,"Stability expressions, method comparison and decision rationale.","RES-MOD-EQS, RES-MOD-SRC and coupling requirements.","A time-integration hierarchy, CFL rules and stiffness-treatment strategy.",Medium,"Explicit Runge–Kutta and SSP methods, implicit and semi-implicit methods, IMEX options, pressure–velocity coupling, global/local/adaptive stepping, subcycling and model synchronisation.",,,,,,,,,,,,RES-NUM-TIM,,,,10380,SS-330,"Numerical Methods, Accuracy and Stability",To Do,23/Jun/26 10:32 AM
